Register Report - All Dates

12/05/2018 through 30/05/2042 (in U.S. Dollars)

	Date	Account	Num	Description	Memo	Category	Tag	Clr	Amount	
	15/06/2022	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[*CD KSri FC 11-03-20]	Credit KSri FC 1st		50,000.00	
	15/05/2023	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[*CD KSri FC 11-03-20]			50,000.00	
	29/05/2023	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			-2,394.45	
	28/05/2024	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[A BBK 147]			50,000.00	
	29/05/2024	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			2,732.30	
	28/05/2025	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[A BBK 147]			50,000.00	
	29/05/2025	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			-6,788.81	
	28/05/2026	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[A BBK 147]			50,000.00	
	29/05/2026	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			-5,324.03	
	28/05/2027	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[A BBK 147]			50,000.00	
	29/05/2027	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			-4,591.63	
	28/05/2028	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[A BBK 147]			50,000.00	
	29/05/2028	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			-3,126.85	
	28/05/2029	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[A BBK 147]			50,000.00	
	29/05/2029	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			-1,662.06	
	28/05/2030	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[A BBK 147]			50,000.00	
	29/05/2030	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			-929.67	
	28/05/2031	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[A BBK 147]			50,000.00	
	29/05/2031	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			535.12	
	28/05/2032	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[A BBK 147]			50,000.00	
	29/05/2032	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			1,999.90	
	28/05/2033	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[A BBK 147]			50,000.00	
	29/05/2033	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			3,464.69	
	28/05/2034	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[A BBK 147]			50,000.00	
	29/05/2034	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			4,929.47	
	28/05/2035	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[A BBK 147]			50,000.00	
	29/05/2035	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			6,394.26	
	28/05/2036	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[A BBK 147]			50,000.00	
	29/05/2036	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			8,591.44	
	28/05/2037	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[A BBK 147]			50,000.00	
	29/05/2037	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			10,056.23	
	29/05/2038	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			21,971.79	
	29/05/2039	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			22,704.18	
	29/05/2040	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			23,436.58	
	29/05/2041	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			24,901.36	
	29/05/2042	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			26,366.15	
	30/05/2042	Ins ALIZ 842K		Closing Insurance 140%		[Bay Kept]			-1,025,350.20	
	12/05/2018 - 30/05/2042								0.01	
										
	BALANCE 30/05/2042								0.01	
										
	TOTAL INFLOWS								1,178,083.47	
										
	TOTAL OUTFLOWS								-1,178,083.46	
										
	NET TOTAL								0.01	
