Register Report - All Dates

25/06/2002 through 15/10/2023 (in U.S. Dollars)

	Date	Account	Num	Description	Memo	Category	Tag	Clr	Amount	
	30/06/2022	Ins AIA 150K		Insurance Expense	What is this?	B3 My Expense:Insurance Expense			-1,117.50	
	25/06/2002 - 15/10/2023								0.00	
										
	BALANCE 15/10/2023								0.00	
										
	TOTAL INFLOWS								423,151.90	
										
	TOTAL OUTFLOWS								-423,151.90	
										
	NET TOTAL								0.00	
